
---------- Begin Simulation Statistics ----------
simSeconds                                   0.016229                       # Number of seconds simulated (Second)
simTicks                                  16228699248                       # Number of ticks simulated (Tick)
finalTick                                 16228699248                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    152.42                       # Real time elapsed on the host (Second)
hostTickRate                                106475591                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2252860                       # Number of bytes of host memory used (Byte)
simInsts                                     50000005                       # Number of instructions simulated (Count)
simOps                                       56016502                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   328047                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     367521                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         29188309                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        61688860                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   394475                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       59796990                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  88208                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6066824                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13756653                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1436                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            29164756                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.050317                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.263078                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  11496540     39.42%     39.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3737040     12.81%     52.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3497765     11.99%     64.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2693846      9.24%     73.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2755969      9.45%     82.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2141381      7.34%     90.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1375257      4.72%     94.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    735105      2.52%     97.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    731853      2.51%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              29164756                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  189425     11.12%     11.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     11.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     11.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     11.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     11.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     11.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     11.12% # attempts to use FU when none available (Count)
